"Method","Path","Status","Note"
"GET","/api/v1/stations (anon)","401","OK expect 401"
"GET","/health","200","OK"
"POST","/api/v1/auth/login","200","OK role=ADMIN"
"GET","/api/v1/auth/me","200","OK"
"GET","/api/v1/stations?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/session-policy","200","OK"
"GET","/api/v1/scada-users?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/app-settings","200","OK"
"GET","/api/v1/app-settings/catalog","200","OK"
"GET","/api/v1/plcs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/devices?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/tags?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/mqtt-configs","200","OK"
"GET","/api/v1/communication-configs","200","OK"
"GET","/api/v1/history-profiles","200","OK"
"GET","/api/v1/tag-history-configs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/alarm-histories?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/alarm-histories/active?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/event-logs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/user-activity-logs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/system-audit-logs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/licenses","200","OK"
"GET","/api/v1/licenses/concurrent-users","200","OK"
"GET","/api/v1/map-layers","200","OK"
"GET","/api/v1/audit-logs?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/stations/1","200","OK"
"GET","/api/v1/stations/1/electrical","200","OK"
"GET","/api/v1/stations/1/schematic","200","OK"
"GET","/api/v1/stations/1/device-cards","200","OK"
"GET","/api/v1/stations/1/device-monitor","200","OK"
"GET","/api/v1/stations/1/reports/devices","200","OK"
"GET","/api/v1/stations/1/events/devices","200","OK"
"GET","/api/v1/stations/1/charts/devices","200","OK"
"GET","/api/v1/stations/1/alarms/active?pageNumber=1&pageSize=5","200","OK"
"GET","/api/v1/stations/1/reports/table","200","OK"
"GET","/api/v1/stations/1/events/history","200","OK"
"GET","/api/v1/stations/1/reports/water-levels","200","OK"
"GET","/api/v1/stations/1/reports/pump-temperatures","200","OK"
"GET","/api/v1/stations/1/reports/table/export","200","OK excel bytes=7075"
"GET","/api/v1/stations/1/events/history/export","200","OK excel bytes=6610"
"GET","/api/v1/stations/1/alarms/active/export","200","OK excel bytes=6617"
"PUT","/api/v1/session-policy","200","OK"
"PUT","/api/v1/app-settings/by-key/{key}","200","OK"
"PUT","/api/v1/stations/{id}","200","OK"
"POST","/api/v1/audit-logs (client ok)","200","OK"
"POST","/api/v1/audit-logs (Login spoof)","403","OK expect 403"
"PUT","/api/v1/scada-users/{id}","200","OK id=3"
"POST","/alarm-histories/{id}/acknowledge","0","SKIP no active alarm"
"POST","/alarm-histories/{id}/clear","0","SKIP no active alarm"
"GET","/api/v1/screens/{screen}/snapshot","200","OK/soft 200"
